round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,5642,4096,1546,122,48,1355,3638,33.5,53.4
2,6000,5632,368,272,14,457,6257,43.5,46.9
3,6582,5888,694,282,0,,35443,8.0,
4,6904,6400,504,142,30,541,122508,1.2,1.2
5,7067,6656,411,141,26,573,2806,50.2,63.1
6,7258,6912,346,60,0,,1172,51.2,
7,7336,6912,424,97,0,,1900,51.1,
8,7611,7168,443,275,212,496,6316,43.5,47.3
9,7901,7424,477,82,0,,1580,51.9,
10,8387,7680,707,722,670,607,48423,14.9,15.1
11,9130,8192,938,86,0,,1919,44.8,
12,9228,8960,268,75,0,,15908,4.7,
13,9686,9216,470,118,26,532,2097,56.3,75.4
14,9896,9472,424,65,0,,1413,46.0,
15,10000,9728,272,66,0,,1710,38.6,
16,10166,9728,438,65,0,,1515,42.9,
17,14993,9984,5009,966,797,3551,28265,34.2,39.1
18,16293,14848,1445,749,668,1216,20048,37.4,39.8
19,17366,16128,1238,382,275,1137,9391,40.7,46.3
20,18159,17152,1007,294,223,814,7287,40.3,45.4
21,27367,17920,9447,214,47,6984,10323,20.7,64.1
22,29884,27136,2748,294,51,2190,6101,48.2,75.2
23,32345,29696,2649,208,77,2272,5837,35.6,58.3
24,32584,32256,328,97,0,,2063,47.0,
25,33214,32512,702,97,0,,2261,42.9,
26,34051,33024,1027,322,224,2762,8915,36.1,52.3
27,35672,34048,1624,125,0,,3129,39.9,
28,36731,35584,1147,4207,4134,1230,110647,38.0,38.4
29,41920,36608,5312,742,632,4161,23365,31.8,38.6
30,44843,41728,3115,106,0,,4090,25.9,
31,45635,44800,835,2041,2023,822,55731,36.6,37.2
32,48339,45568,2771,174,96,2334,5593,31.1,53.4
33,49285,48128,1157,152,30,1365,3573,42.5,68.8
34,51170,49152,2018,209,79,1690,5752,36.3,51.5
35,52375,50944,1431,109,25,1478,3243,33.6,61.8
36,52869,52224,645,256,123,856,5875,43.6,51.0
37,54323,52736,1587,378,277,1466,9862,38.3,45.0
38,55859,54272,1587,332,198,1468,8395,39.5,47.9
39,56987,55808,1179,274,117,1367,6176,44.4,57.0
40,57425,56832,593,941,823,738,23330,40.3,41.7
41,58399,57344,1055,160,0,,4488,35.7,
42,58645,58368,277,109,0,,2145,50.8,
43,59325,58624,701,108,0,,2482,43.5,
44,59542,59136,406,1177,1078,670,33319,35.3,36.1
45,62249,59392,2857,8192,7823,2389,212105,38.6,39.1
46,70491,69632,859,6844,6314,977,165601,41.3,41.6
47,77353,70400,6953,263,49,5491,10252,25.7,55.2
48,77867,77312,555,92,0,,2347,39.2,
49,78369,77824,545,431,206,805,9779,44.1,48.0
50,78952,78336,616,1614,370,970,30692,52.6,54.3
51,80630,78848,1782,1207,483,1650,23477,51.4,55.3
52,81896,80384,1512,496,236,1564,9510,52.2,62.4
53,82450,81664,786,559,0,,9434,59.3,
54,83067,82432,635,3733,3245,967,79858,46.7,47.3
55,86959,82944,4015,498,356,3423,14560,34.2,44.7
56,88260,86784,1476,4257,379,1573,74106,57.4,58.7
57,92582,90112,2470,1814,349,2368,38279,47.4,50.5
58,94461,94208,253,209,0,760,3466,60.3,77.2
59,94725,94208,517,372,0,,6249,59.5,
60,95159,94720,439,373,0,,6499,57.4,
61,95595,94976,619,4369,1444,923,67889,64.4,65.2
62,100015,95488,4527,376,0,,10031,37.5,
63,100442,99840,602,197,92,968,5580,35.3,42.7
64,100663,100352,311,161,39,856,4170,38.6,48.6
65,101186,100608,578,461,277,1180,11301,40.8,45.5
66,101970,101120,850,380,267,1043,9584,39.6,44.5
67,103016,101888,1128,8687,7681,1486,210798,41.2,41.5
68,111762,102912,8850,324,0,,11909,27.2,
69,112103,111616,487,89,0,,2021,44.0,
70,112958,111872,1086,443,115,1454,8806,50.3,60.3
71,113459,112896,563,610,23,1038,10484,58.2,64.6
72,114086,113408,678,89,0,,2096,42.5,
73,114867,113920,947,641,24,1130,11006,58.2,64.9
74,115566,114688,878,3728,260,1101,58726,63.5,64.7
75,119359,115456,3903,1974,1874,3660,54544,36.2,38.8
76,121580,119296,2284,169,46,2350,5297,31.9,57.3
77,122434,121344,1090,1365,873,1483,29288,46.6,49.1
78,123816,122368,1448,122,0,,3473,35.1,
79,124375,123648,727,479,18,1225,8646,55.4,64.5
80,124913,124160,753,268,103,1038,5691,47.1,57.6
81,125240,124672,568,124,0,1042,3768,32.9,45.5
82,125388,125184,204,130,0,,2938,44.2,
83,125647,125184,463,1309,594,973,26878,48.7,50.5
84,127014,125440,1574,358,0,,6877,52.1,
