round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,5767,3200,2567,112,14,1127,3089,36.3,57.1
2,6005,3200,2805,110,10,1163,34977,3.1,3.3
3,6534,3200,3334,164,23,1483,7830,20.9,25.8
4,16388,4800,11588,342,63,4516,10347,33.1,58.7
5,19890,14400,5490,272,63,2206,6894,39.5,58.0
6,23473,14400,9073,140,50,3483,6025,23.2,55.1
7,24694,17600,7094,120,19,2874,5218,23.0,51.2
8,26826,20800,6026,201,21,2642,5900,34.1,61.7
9,30165,22400,7765,264,57,3507,8532,30.9,52.5
10,33288,24000,9288,162,85,3659,10790,15.0,22.7
11,34525,30400,4125,145,52,1798,4700,30.9,50.0
12,35994,30400,5594,123,29,2555,4705,26.1,57.2
13,38163,32000,6163,250,107,2652,8344,30.0,43.9
14,38514,33600,4914,124,19,2217,4751,26.1,48.9
15,40597,35200,5397,182,40,2651,5839,31.2,57.1
16,41665,36800,4865,181,24,2243,5867,30.9,49.9
17,43217,38400,4817,301,97,2415,8357,36.0,50.7
18,47327,40000,7327,300,101,3284,9790,30.6,46.1
19,49479,41600,7879,265,122,3660,9232,28.7,47.6
20,50766,44800,5966,11917,11630,2835,323790,36.8,37.1
21,63861,60800,3061,583,439,1623,16359,35.6,39.6
22,65636,62400,3236,176,82,1630,4914,35.8,53.6
23,66406,64000,2406,2116,1911,1455,54497,38.8,39.9
24,68569,64000,4569,1223,1099,2407,30312,40.3,43.8
25,70920,67200,3720,383,266,1832,10830,35.4,42.6
26,71916,68800,3116,186,90,1637,5834,31.9,44.3
27,72418,68800,3618,317,216,1928,8772,36.1,46.3
28,73332,70400,2932,260,99,1626,7371,35.3,45.3
29,73807,70400,3407,1942,42,1706,37835,51.3,53.8
30,75822,72000,3822,783,492,1950,19374,40.4,44.9
31,76725,72000,4725,1011,907,2540,29528,34.2,37.5
32,78702,73600,5102,2410,529,2582,51688,46.6,49.1
33,81177,76800,4377,1420,284,2247,31463,45.1,48.6
34,82722,80000,2722,1154,210,1516,24355,47.4,50.5
35,83946,81600,2346,373,187,1382,9828,38.0,44.2
36,84381,81600,2781,9536,3608,1534,206771,46.1,46.5
37,93990,91200,2790,8996,3115,1818,172945,52.0,52.6
38,103059,92800,10259,783,267,4933,20700,37.8,49.7
39,104014,94400,9614,3035,150,4429,64017,47.4,50.9
40,107122,104000,3122,570,84,1721,12051,47.3,55.2
41,107865,105600,2265,796,255,1487,16180,49.2,54.2
42,108732,105600,3132,1827,986,1813,45205,40.4,42.1
43,110675,108800,1875,1609,220,1440,31347,51.3,53.8
44,112401,110400,2001,670,64,1549,13429,49.9,56.4
45,113184,110400,2784,744,113,1851,16193,45.9,51.9
46,114036,112000,2036,143,46,1403,4744,30.1,42.8
47,114208,112000,2208,424,302,1647,11330,37.4,43.8
48,114657,112000,2657,119,30,1635,3936,30.2,51.7
49,114804,112000,2804,175,59,1864,5494,31.9,48.2
50,115036,112000,3036,2348,2178,1739,62475,37.6,38.7
51,117786,113600,4186,142,49,2215,10991,12.9,16.2
52,118052,115200,2852,157,33,1781,4946,31.7,49.6
53,118363,115200,3163,337,227,1907,10001,33.7,41.6
54,119384,115200,4184,237,68,2502,7772,30.5,45.0
55,120337,116800,3537,319,162,1936,9105,35.0,44.5
56,120720,118400,2320,242,114,1593,6311,38.3,51.3
57,121026,118400,2626,221,35,1631,5741,38.5,53.8
58,121311,118400,2911,1973,1868,1776,52319,37.7,39.0
