round,prompt_tokens,cached_tokens,uncached_tokens,completion_tokens,reasoning_tokens,ttft_ms,duration_ms,tok_s_end_to_end,tok_s_decode_est
1,5327,3584,1743,192,57,2424,41405,4.6,4.9
2,6297,3584,2713,230,57,3584,10461,22.0,33.4
3,6633,3584,3049,108,50,3901,8291,13.0,24.6
4,15876,3584,12292,129,96,14488,19602,6.6,25.2
5,16245,14336,1909,39,0,,3901,10.0,
6,18552,14336,4216,79,43,5249,7772,10.2,31.3
7,19650,17920,1730,41,0,,3316,12.4,
8,21195,17920,3275,147,56,4575,9814,15.0,28.1
9,22861,17920,4941,120,64,6033,10033,12.0,30.0
10,23867,21504,2363,38,0,,4288,8.9,
11,25366,21504,3862,980,1010,4890,49118,20.0,22.2
12,27783,25088,2695,249,213,3695,11265,22.1,32.9
13,29666,25088,4578,120,85,6076,9698,12.4,33.1
14,30204,28672,1532,594,655,2417,28009,21.2,23.2
15,31751,28672,3079,9278,9609,3947,454367,20.4,20.6
16,44127,39424,4703,465,392,6240,26034,17.9,23.5
17,45518,43008,2510,148,47,3795,8542,17.3,31.2
18,45865,43008,2857,38,0,,4719,8.1,
19,47134,43008,4126,237,202,5256,14714,16.1,25.1
20,48279,46592,1687,131,66,2590,9106,14.4,20.1
21,48843,46592,2251,82,40,3414,6187,13.3,29.6
22,50100,46592,3508,4854,4749,4751,222958,21.8,22.2
23,54984,53760,1224,80,0,,4765,16.8,
24,55387,53760,1627,52,0,,4108,12.7,
25,55923,53760,2163,1309,118,3018,46709,28.0,30.0
26,57255,53760,3495,828,235,4783,31543,26.2,30.9
27,58104,57344,760,1132,524,1743,47053,24.1,25.0
28,59253,57344,1909,5534,1903,2923,209620,26.4,26.8
29,64809,64512,297,275,223,1194,14094,19.5,21.3
30,65100,64512,588,1329,39,1339,50985,26.1,26.8
31,66452,64512,1940,461,69,2963,16046,28.7,35.2
32,66953,64512,2441,485,0,,18140,26.7,
33,67470,64512,2958,47,12,3945,6097,7.7,21.8
34,67664,64512,3152,76,69,4165,7536,10.1,22.5
35,68469,64512,3957,366,138,5203,15141,24.2,36.8
36,68848,68096,752,32,0,,2551,12.5,
37,69088,68096,992,759,568,1652,31371,24.2,25.5
38,69864,68096,1768,32,0,,3848,8.3,
39,70077,68096,1981,260,73,2887,10207,25.5,35.5
40,70367,68096,2271,36,0,,4696,7.7,
41,70420,68096,2324,67,24,3719,6185,10.8,27.2
42,70513,68096,2417,1764,1655,3789,85865,20.5,21.5
43,72650,71680,970,650,40,1812,18229,35.7,39.6
44,73327,71680,1647,784,0,,23217,33.8,
45,74137,71680,2457,1289,548,3889,46386,27.8,30.3
46,75451,75264,187,232,129,1020,8579,27.0,30.7
47,75702,75264,438,665,15,1342,15615,42.6,46.6
48,76392,75264,1128,348,0,,11169,31.2,
49,76764,75264,1500,622,42,2558,17586,35.4,41.4
50,77424,75264,2160,32,0,,19262,1.7,
51,78213,75264,2949,89,29,4114,7686,11.6,24.9
52,78590,75264,3326,247,138,4831,14534,17.0,25.5
53,78853,75264,3589,32,0,,6191,5.2,
54,79643,78848,795,301,38,1637,9042,33.3,40.6
55,79974,78848,1126,32,0,,3324,9.6,
56,80578,78848,1730,590,518,2644,28221,20.9,23.1
57,82043,78848,3195,1354,603,4296,48551,27.9,30.6
58,83444,82432,1012,32,0,,3460,9.2,
59,83689,82432,1257,255,218,2465,15265,16.7,19.9
60,84149,82432,1717,71,0,,5632,12.6,
61,84457,82432,2025,417,242,3062,27212,15.3,17.3
62,84883,82432,2451,232,190,3552,19887,11.7,14.2
63,86975,82432,4543,114,52,6138,12196,9.3,18.8
64,87104,86016,1088,49,0,,4712,10.4,
65,87157,86016,1141,38,0,,4275,8.9,
66,87469,86016,1453,100,48,2774,6502,15.4,26.8
67,88448,86016,2432,1491,1117,3604,66042,22.6,23.9
68,89994,89600,394,37,0,,2703,13.7,
69,90173,89600,573,87,0,,3941,22.1,
70,90298,89600,698,262,27,1692,6950,37.7,49.8
71,90608,89600,1008,32,0,,3309,9.7,
72,90904,89600,1304,762,534,2470,37289,20.4,21.9
73,91777,89600,2177,561,513,3523,29497,19.0,21.6
74,93173,89600,3573,190,142,5172,12562,15.1,25.7
75,93430,93184,246,114,0,,3963,28.8,
76,93731,93184,547,32,0,,2786,11.5,
77,93949,93184,765,507,338,1559,20398,24.9,26.9
78,94574,93184,1390,280,0,,8770,31.9,
79,94887,93184,1703,32,0,,3970,8.1,
80,94971,93184,1787,146,64,2920,9458,15.4,22.3
81,95156,93184,1972,94,0,,11899,7.9,
82,95335,93184,2151,251,215,3140,15004,16.7,21.2
83,95612,93184,2428,40,0,,5383,7.4,
84,95775,93184,2591,463,336,3715,24268,19.1,22.5
85,96357,93184,3173,223,78,4434,11258,19.8,32.7
86,96703,93184,3519,114,0,,7336,15.5,
87,96872,96768,104,153,144,800,11509,13.3,14.3
88,98028,96768,1260,151,69,2315,10436,14.5,18.6
89,98789,96768,2021,993,991,2953,52948,18.8,19.9
90,99848,96768,3080,495,276,4242,23245,21.3,26.0
